ID,FMC,VEGTYPE,red_630_690,nir1_780_900,blue_450_520,green_530_610,nir2_1230_1250,swir1_1550_1750,swir2_2090_2350
463,196.1,grass,0.0776,0.3229,0.0445,0.1065,0.3559,0.2849,0.1535
464,196.0,grass,0.0623,0.309,0.0354,0.0933,0.3207,0.2245,0.1033
465,195.7,grass,0.0658,0.3147,0.0364,0.0932,0.3483,0.2771,0.1438
466,195.6,grass,0.0742,0.3123,0.0406,0.0978,0.3549,0.2945,0.1636
467,195.5,grass,0.075,0.3343,0.0437,0.1075,0.3646,0.2912,0.1548
468,194.3,grass,0.08199999999999999,0.322,0.0459,0.1071,0.3701,0.3218,0.1905
469,194.2,grass,0.0644,0.3047,0.0358,0.0925,0.3257,0.2396,0.1157
470,194.0,grass,0.0629,0.3238,0.0357,0.094,0.3473,0.2627,0.1284
471,193.8,grass,0.0666,0.3099,0.0359,0.0903,0.3563,0.306,0.1729
472,193.3,grass,0.0582,0.3065,0.0322,0.0841,0.3378,0.2641,0.1313
473,193.1,grass,0.0664,0.3092,0.0374,0.0947,0.3282,0.2394,0.1173
474,192.9,grass,0.0723,0.3191,0.0421,0.1045,0.3365,0.2472,0.1212
475,192.8,grass,0.0737,0.3211,0.0431,0.1054,0.3394,0.2509,0.1252
476,192.5,grass,0.0623,0.3232,0.0355,0.095,0.3438,0.2568,0.1227
477,192.3,grass,0.0764,0.3414,0.044000000000000004,0.1079,0.3853,0.3348,0.1976
478,192.3,grass,0.07,0.3023,0.037000000000000005,0.0873,0.3598,0.3238,0.1955
479,191.7,grass,0.0813,0.3261,0.0462,0.1088,0.3703,0.3177,0.1848
480,191.7,grass,0.0701,0.311,0.0397,0.0985,0.3323,0.2464,0.1235
481,191.7,grass,0.0678,0.3334,0.0393,0.1013,0.3569,0.2734,0.1369
482,191.7,grass,0.0636,0.3205,0.0348,0.0888,0.369,0.3227,0.1867
483,191.2,grass,0.0655,0.3101,0.0363,0.0914,0.3394,0.2607,0.1324
484,191.2,grass,0.0672,0.2941,0.0363,0.0885,0.3266,0.2527,0.1318
485,191.2,grass,0.0709,0.3271,0.0398,0.10099999999999999,0.3668,0.3087,0.1717
486,191.0,grass,0.0804,0.3202,0.0466,0.1089,0.3474,0.2687,0.1431
487,190.9,grass,0.0715,0.3254,0.0406,0.1022,0.3584,0.2888,0.153
488,190.6,grass,0.0745,0.3141,0.042,0.1014,0.3433,0.2657,0.1395
489,190.5,grass,0.068,0.3261,0.0372,0.0941,0.3777,0.3378,0.2038
490,190.3,grass,0.0746,0.3054,0.0414,0.099,0.3357,0.2597,0.1378
491,190.2,grass,0.0763,0.3413,0.0452,0.1106,0.3714,0.2989,0.1605
492,190.1,grass,0.0804,0.3197,0.047,0.1095,0.3441,0.2627,0.1385
493,189.9,grass,0.0731,0.3127,0.0414,0.1007,0.3382,0.2565,0.1322
494,189.7,grass,0.0713,0.3322,0.0422,0.1063,0.35,0.2608,0.1281
495,189.5,grass,0.0768,0.3522,0.0447,0.1101,0.39899999999999997,0.3572,0.2221
496,189.1,grass,0.0742,0.3145,0.0422,0.1026,0.3422,0.2643,0.13699999999999998
497,188.9,grass,0.0623,0.3323,0.0346,0.0931,0.3792,0.3403,0.2074
498,188.7,grass,0.0594,0.3096,0.0337,0.0909,0.322,0.2262,0.1018
499,187.8,grass,0.0661,0.293,0.0359,0.0874,0.3225,0.245,0.1265
500,187.8,grass,0.0685,0.3212,0.0386,0.0978,0.3521,0.2774,0.1434
501,187.5,grass,0.0761,0.335,0.0449,0.1096,0.3627,0.2864,0.1505
502,187.1,grass,0.0724,0.3455,0.042,0.1059,0.3825,0.3197,0.1784
503,187.0,grass,0.0748,0.3377,0.0445,0.1092,0.3594,0.2739,0.1398
504,186.4,grass,0.0661,0.3217,0.0379,0.0991,0.3421,0.2555,0.1232
505,186.0,grass,0.0708,0.2954,0.0374,0.0874,0.34600000000000003,0.2957,0.1683
506,185.9,grass,0.0773,0.3219,0.0447,0.1066,0.3489,0.2693,0.1414
507,185.7,grass,0.0695,0.3109,0.0382,0.0951,0.3481,0.2816,0.15
508,185.7,grass,0.0613,0.33399999999999996,0.0348,0.0948,0.3647,0.2936,0.1516
509,185.5,grass,0.0602,0.3057,0.0338,0.0897,0.3235,0.2334,0.1083
510,185.3,grass,0.0727,0.3186,0.0421,0.1042,0.3394,0.2539,0.1263
511,185.1,grass,0.0725,0.2874,0.0385,0.0895,0.3272,0.2623,0.1447
512,184.8,grass,0.0599,0.321,0.0347,0.0943,0.331,0.2321,0.1036
513,184.1,grass,0.0704,0.3264,0.0401,0.1019,0.3589,0.289,0.1522
514,184.0,grass,0.0632,0.3113,0.0349,0.0889,0.3442,0.2699,0.1377
515,183.9,grass,0.0743,0.3224,0.0424,0.1034,0.3527,0.2769,0.1456
516,183.6,grass,0.0823,0.3082,0.0459,0.105,0.3465,0.2808,0.1571
517,183.6,grass,0.0869,0.3065,0.0487,0.1083,0.34600000000000003,0.2825,0.1616
518,183.3,grass,0.0614,0.3048,0.0335,0.0856,0.3432,0.2796,0.1464
519,183.3,grass,0.0689,0.3355,0.0417,0.1072,0.34299999999999997,0.2429,0.1118
520,182.6,grass,0.0678,0.3072,0.0378,0.0943,0.3331,0.2512,0.1269
521,182.5,grass,0.0751,0.308,0.0405,0.0966,0.3569,0.3073,0.177
522,182.5,grass,0.0741,0.3097,0.0409,0.0986,0.3468,0.27899999999999997,0.1506
523,182.4,grass,0.0827,0.3228,0.0453,0.1053,0.3841,0.3632,0.243
524,182.3,grass,0.0688,0.3131,0.0386,0.0968,0.3404,0.2608,0.1324
525,182.2,grass,0.0608,0.304,0.0333,0.0835,0.3417,0.2741,0.142
526,182.1,grass,0.0601,0.3085,0.033,0.0835,0.3482,0.2838,0.1488
527,181.4,grass,0.0553,0.3041,0.0311,0.0829,0.3254,0.239,0.1107
528,181.3,grass,0.0799,0.3294,0.0465,0.1101,0.3644,0.2969,0.163
529,181.3,grass,0.0788,0.3124,0.0445,0.1046,0.3465,0.2761,0.1496
530,180.8,grass,0.0747,0.3119,0.0399,0.0952,0.3689,0.3339,0.2049
531,180.6,grass,0.0683,0.2985,0.0371,0.0905,0.332,0.2588,0.1355
532,180.3,grass,0.0645,0.3076,0.0358,0.0911,0.3354,0.2559,0.1278
533,180.0,grass,0.0696,0.3291,0.0385,0.0973,0.3777,0.3326,0.1964
534,179.4,grass,0.0643,0.2955,0.0349,0.0862,0.3289,0.256,0.1316
535,179.1,grass,0.0756,0.335,0.0438,0.1072,0.3691,0.3,0.1627
